time_ms,temp1_c,temp2_c
1177,24.44,24.25
2287,24.44,24.25
3397,24.44,24.25
4507,24.44,24.25
5617,24.37,24.25
6727,24.44,24.25
7838,24.44,24.25
8948,24.44,24.31
10058,24.44,24.31
11168,24.50,24.31
12278,24.50,24.37
13388,24.56,24.37
14499,24.69,24.37
15609,24.75,24.50
16719,24.87,24.56
17829,25.06,24.62
18939,25.25,24.75
20049,25.44,24.87
21159,25.69,25.00
22269,25.87,25.12
23379,26.19,25.25
24489,26.44,25.44
25600,26.75,25.62
26710,27.06,25.81
27820,27.37,26.00
28930,27.69,26.25
30039,28.06,26.50
31149,28.44,26.69
32259,28.81,26.94
33368,29.19,27.12
34478,29.56,27.37
35587,29.94,27.62
36696,30.37,27.87
37805,30.75,28.12
38915,31.19,28.37
40024,31.56,28.62
41133,32.00,28.87
42242,32.44,29.12
43351,32.88,29.44
44460,33.25,29.69
45569,33.69,30.00
46678,34.13,30.31
47785,34.56,30.62
48894,35.00,30.94
50002,35.38,31.31
51110,35.81,31.56
52218,36.25,31.87
53327,36.69,32.19
54435,37.06,32.44
55543,37.50,32.81
56651,37.88,33.06
57760,38.25,33.38
58868,38.69,33.69
59976,39.06,34.00
61084,39.50,34.31
62192,39.88,34.63
63300,40.31,34.88
64408,40.69,35.25
65516,41.13,35.63
66624,41.56,35.94
67732,42.00,36.25
68840,42.44,36.56
69948,42.81,36.88
71056,43.25,37.19
72163,43.75,37.50
73271,44.19,37.81
74379,44.63,38.13
75486,45.06,38.50
76594,45.56,38.81
77701,46.00,39.13
78809,46.50,39.50
79917,46.94,39.88
81024,47.38,40.19
82131,47.88,40.56
83239,48.31,40.94
84347,48.81,41.25
85454,49.25,41.56
86562,49.69,41.94
87670,50.19,42.31
88778,50.63,42.56
89886,51.13,42.94
90993,51.56,43.19
92101,52.00,43.56
93208,52.50,43.81
94315,52.94,44.19
95423,53.38,44.50
96530,53.88,44.88
97637,54.31,45.25
98744,54.75,45.56
99851,55.25,45.88
100958,55.69,46.25
102065,56.13,46.50
103172,56.56,46.75
104279,57.06,47.06
105385,57.50,47.38
106491,57.94,47.75
107598,58.38,48.06
108705,58.81,48.38
